model,fold,epoch,train_loss,train_acc,val_loss,val_acc
ResNet18,0,1,2.365475788116455,0.2,2.131294021606445,0.15
ResNet18,0,2,1.8054983282089234,0.48,1.2333304214477538,0.72
ResNet18,1,1,2.4126867771148683,0.19,2.081270999908447,0.41
ResNet18,1,2,1.7350311422348021,0.51,1.1752586126327516,0.75
DenseNet121,0,1,2.2153466892242433,0.19,2.3071121692657472,0.1
DenseNet121,0,2,1.8408401489257813,0.41,1.4717182064056396,0.77
DenseNet121,1,1,2.2734476041793825,0.17,2.3072790718078613,0.1
DenseNet121,1,2,1.844810914993286,0.48,1.7143124103546143,0.46
EfficientNet,0,1,2.3962529563903807,0.08,2.3041486072540285,0.1
EfficientNet,0,2,2.362497444152832,0.15,2.8226209545135497,0.17
EfficientNet,1,1,2.386485023498535,0.12,2.304355306625366,0.1
EfficientNet,1,2,2.3902825832366945,0.16,4.232151031494141,0.22
