fold,epoch,train_loss,train_accuracy
0,1,0.18968848514425404,0.9741911764705883
0,2,0.010691859356182463,0.9993382352941177
0,3,0.00596093904637896,0.9991911764705882
0,4,0.0034829521732514393,0.9997058823529412
0,5,0.003692410451031345,0.9993382352941177
0,6,0.00329455004662604,0.9993382352941177
0,7,0.002818193063687752,0.9996323529411765
0,8,0.0025757870887515738,0.9996323529411765
0,9,0.002527814520906438,0.9997794117647059
0,10,0.002107660447192543,0.9995588235294117
1,1,0.1514427744465716,0.9789705882352941
1,2,0.009697026659131927,0.9992647058823529
1,3,0.006411727418684784,0.9991911764705882
1,4,0.004857795440646655,0.9991911764705882
1,5,0.004040879438056008,0.9993382352941177
1,6,0.0037877241576857426,0.9995588235294117
1,7,0.003616774970501223,0.9992647058823529
1,8,0.002837005619863596,0.9994852941176471
1,9,0.0038340718853835235,0.9993382352941177
1,10,0.003444821277551134,0.9994852941176471
2,1,0.16263540648362215,0.9813970588235295
2,2,0.010257529701818438,0.9991911764705882
2,3,0.006447540960986825,0.9991911764705882
2,4,0.0047432076106505355,0.9994117647058823
2,5,0.0035280138785567356,0.9995588235294117
2,6,0.0039658813145669065,0.9994117647058823
2,7,0.0034790671941385986,0.9995588235294117
2,8,0.003256898470880354,0.9995588235294117
2,9,0.0030076543386916028,0.9994852941176471
2,10,0.0033441819083493422,0.9993382352941177
3,1,0.15858910493114414,0.9768382352941176
3,2,0.008434891000609188,0.9994852941176471
3,3,0.0048545572556117,0.9995588235294117
3,4,0.0034153136780814214,0.9996323529411765
3,5,0.0025170710682868957,0.9996323529411765
3,6,0.0020171733549796044,0.9998529411764706
3,7,0.002815901377402684,0.9994852941176471
3,8,0.0023635394315180535,0.9996323529411765
3,9,0.0017111971977112049,0.9997058823529412
3,10,0.0017798793923986308,0.9998529411764706
4,1,0.15130551151931285,0.9836029411764706
4,2,0.009921320363440934,0.9992647058823529
4,3,0.006207292617901283,0.9992647058823529
4,4,0.004793349354911376,0.9995588235294117
4,5,0.00369746819467229,0.9994117647058823
4,6,0.0033170636820004265,0.9995588235294117
4,7,0.0033771542339202237,0.9994852941176471
4,8,0.003045196946956875,0.9997058823529412
4,9,0.0027895079275100107,0.9994852941176471
4,10,0.003335419300094466,0.9994117647058823
